HPI.rank,country,region,avg.life.expectancy,avg.wellbeing,HLY,footprint,adj.life.expectancy,adj.wellbeing,HPI,GDP.per.capita,population,GINI
110,Afghanistan,Middle East and North Africa,59.7,3.8,12.4,0.8,38.3,3.4,20.2,691,29726803,NA
13,Albania,Post-communist,77.3,5.5,34.4,2.2,69.7,5.1,36.8,4247,2900489,29
30,Algeria,Middle East and North Africa,74.3,5.6,30.5,2.1,60.5,5.2,33.3,5584,37439427,NA
19,Argentina,Americas,75.9,6.5,40.2,3.1,68.3,6,35.2,14357,42095224,42.5
73,Armenia,Post-communist,74.4,4.3,24,2.2,66.9,3.7,25.7,3566,2978339,30.5
105,Australia,Asia Pacific,82.1,7.2,53.1,9.3,78.6,6.9,21.2,67646,22728254,NA
43,Austria,Europe,81,7.4,54.4,6.1,78,7.1,30.5,48324,8429991,30.5
8,Bangladesh,Asia Pacific,70.8,4.7,23.3,0.7,56.6,4.3,38.4,859,155257387,NA
102,Belarus,Post-communist,70.9,5.7,34,5.1,66.7,5.3,21.7,6722,9464000,26
87,Belgium,Europe,80.4,6.9,49.5,7.4,77.2,6.6,23.7,44731,11128246,27.6
27,Belize,Americas,69.8,6.1,34.2,2.5,61.7,5.7,33.8,4674,336707,NA
137,Benin,Sub Saharan Africa,59.2,3.2,9.9,1.4,37.3,2.8,13.4,808,10049792,NA
56,Bhutan,Asia Pacific,68.7,5.6,27.4,2.3,54.5,5.2,28.6,2452,743711,38.7
92,Bolivia,Americas,67.5,6,25.6,3,47.9,5.5,23.3,2645,10238762,46.7
76,Bosnia and Herzegovina,Post-communist,76.2,4.8,28.6,3.1,71.1,4.2,25.3,4495,3828419,NA
126,Botswana,Sub Saharan Africa,64.2,4.8,21.3,3.8,50.8,4.3,16.6,6936,2132822,NA
23,Brazil,Americas,73.9,6.9,39,3.1,63.3,6.3,34.3,12157,202401584,52.7
109,Bulgaria,Post-communist,73.9,4.2,24,3.3,68.1,3.7,20.4,7333,7305888,36
119,Burkina Faso,Sub Saharan Africa,58,4,12.6,1.2,36.5,3.6,17.9,673,16590813,NA
131,Burundi,Sub Saharan Africa,55.8,3.4,9.5,0.8,33,3,15.6,244,10124572,NA
74,Cambodia,Asia Pacific,67.5,3.9,18.2,1.2,54.2,3.5,25.6,946,14832255,30.8
124,Cameroon,Sub Saharan Africa,54.6,4.2,11.6,1.2,33.1,3.7,16.7,1222,21659488,NA
85,Canada,Americas,81.7,7.4,53.9,8.2,77.8,7.1,23.9,52738,34751476,NA
140,Chad,Sub Saharan Africa,50.8,4,9.6,1.5,27.3,3.7,12.8,973,12715465,NA
35,Chile,Americas,81.1,6.6,44.7,4.4,74.9,6.1,31.7,15253,17388437,NA
72,China,Asia Pacific,75.4,5.1,30.6,3.4,68.6,4.6,25.7,6265,1350695000,NA
3,Colombia,Americas,73.7,6.4,35.1,1.9,63.1,5.7,40.7,7885,46881018,53.5
93,Comoros,Sub Saharan Africa,62.6,4,15.4,1,43.3,3.7,23.1,750,733661,NA
1,Costa Rica,Americas,79.1,7.3,48.2,2.8,72.6,6.8,44.7,9733,4654148,48.6
135,Cote d'Ivoire,Sub Saharan Africa,50.8,3.8,10.3,1.3,30.6,3.5,14.4,1281,21102641,NA
47,Croatia,Post-communist,77,6,39.6,3.9,73.5,5.5,30.2,13236,4267558,NA
41,Cyprus,Europe,79.8,6.2,42.3,4.2,76.6,5.7,30.7,28868,1129303,34.3
64,Czech Republic,Post-communist,78.2,6.3,43.4,5.2,75.5,5.9,27.3,19641,10510785,26.1
32,Denmark,Europe,79.8,7.5,54.4,5.5,76.8,7.2,32.7,57636,5591572,29.1
127,Djibouti,Sub Saharan Africa,61.3,4.4,15.1,2.2,41.4,3.8,16.4,1587,853069,45.1
45,Dominican Republic,Americas,73.1,4.8,23.7,1.5,60.8,4.1,30.3,5967,10155036,45.7
10,Ecuador,Americas,75.4,6,34.3,2.2,64.1,5.5,37,5702,15419493,46.6
86,Egypt,Middle East and North Africa,70.7,4.2,21.8,2.2,61.3,3.7,23.8,3226,85660902,NA
17,El Salvador,Americas,72.5,5.9,32.2,2.1,62.5,5.3,35.6,3922,6072233,41.8
118,Estonia,Post-communist,76.2,5.4,35,6.9,72.6,5,17.9,17491,1322696,33.2
66,Ethiopia,Sub Saharan Africa,62.8,4.6,17.8,1,43.8,4.2,26.7,470,92191211,NA
37,Finland,Europe,80.4,7.4,54.6,5.9,77.6,7.2,31.3,47416,5413971,27.1
44,France,Europe,81.8,6.6,48.1,5.1,78.5,6.3,30.4,40850,65639975,33.1
120,Gabon,Sub Saharan Africa,63.3,4,15.4,2,45.8,3.5,17.5,10642,1613489,NA
40,Georgia,Post-communist,74.6,4.3,24.7,1.6,66.9,3.8,31.1,4143,3825000,41.4
49,Germany,Europe,80.6,6.7,48.2,5.3,77.6,6.4,29.8,44011,80425823,NA
104,Ghana,Sub Saharan Africa,61,5.1,18.8,2,42.2,4.6,21.4,1642,25544565,NA
89,Greece,Europe,80.5,5.1,33.3,4.4,77.6,4.5,23.6,22243,11045011,36.7
26,Guatemala,Americas,71.4,5.9,29.6,1.9,59.2,5.2,34.2,3279,15368759,NA
129,Guinea,Sub Saharan Africa,57.7,3.7,11.8,1.4,37.2,3.3,15.9,487,11628767,33.7
57,Haiti,Americas,62.1,4.4,16.5,0.6,42.9,4,28.6,767,10288828,60.8
65,Honduras,Americas,72.8,4.6,22.1,1.7,58.5,3.9,27.2,2395,7736131,57.4
123,Hong Kong,Asia Pacific,83.6,5.5,40.1,8.8,81.3,5.1,16.8,36708,7154600,NA
69,Hungary,Post-communist,74.9,4.7,28.7,2.9,70.9,4.2,26.4,12820,9920362,30.6
39,Iceland,Europe,82.2,7.6,58,6.4,79.8,7.4,31.1,44259,320716,26.9
50,India,Asia Pacific,67.3,4.6,20.4,1.2,51.1,4.2,29.2,1450,1263589639,NA
16,Indonesia,Asia Pacific,68.5,5.4,28.4,1.6,57.2,5.1,35.7,3701,248037853,NA
84,Iran,Middle East and North Africa,74.8,4.6,25.4,2.8,66.9,4,24,7711,76156975,NA
67,Iraq,Middle East and North Africa,69,4.7,22.8,1.9,55.6,4.3,26.5,6649,32780975,29.5
48,Ireland,Europe,80.5,7,50.3,5.6,77.5,6.7,30,48977,4586897,32.5
54,Israel,Middle East and North Africa,81.9,7.1,52.5,6.2,78.7,6.8,28.8,32819,7910500,NA
60,Italy,Europe,82.7,5.8,41.1,4.6,80.2,5.3,28.1,34844,59539717,35.2
11,Jamaica,Americas,75.3,5.6,31.9,1.9,66.3,5,36.9,5446,2707805,NA
58,Japan,Asia Pacific,83.2,6,44,5,80.6,5.6,28.3,46679,127561489,NA
