"","age","degree","race","age_cat","sex","priors_count","score_num","two_year_recid"
"2",34,"Felony","African-American","25 - 45","Male",0,3,1
"3",24,"Felony","African-American","Less than 25","Male",4,4,1
"9",23,"Misdemeanor","African-American","Less than 25","Male",3,6,1
"11",41,"Felony","African-American","25 - 45","Male",0,4,0
"13",31,"Felony","African-American","25 - 45","Male",7,3,1
"15",25,"Felony","African-American","25 - 45","Male",3,10,0
"18",64,"Felony","African-American","Greater than 45","Male",13,6,1
"19",21,"Felony","African-American","Less than 25","Male",1,9,1
"25",27,"Felony","African-American","25 - 45","Male",8,3,1
"26",26,"Felony","African-American","25 - 45","Male",5,7,1
"27",33,"Felony","African-American","25 - 45","Male",0,10,1
"29",32,"Felony","African-American","25 - 45","Male",4,8,1
"34",34,"Felony","African-American","25 - 45","Male",21,9,1
"36",21,"Felony","African-American","Less than 25","Female",2,8,0
"37",51,"Misdemeanor","African-American","Greater than 45","Male",2,1,0
"39",51,"Felony","African-American","Greater than 45","Female",7,2,0
"40",29,"Felony","African-American","25 - 45","Male",0,7,1
"42",35,"Felony","African-American","25 - 45","Male",13,8,1
"44",29,"Felony","African-American","25 - 45","Male",0,4,0
"47",31,"Felony","African-American","25 - 45","Male",15,5,0
"48",24,"Felony","African-American","Less than 25","Male",2,4,1
"50",49,"Misdemeanor","African-American","Greater than 45","Male",4,1,0
"52",35,"Felony","African-American","25 - 45","Male",5,3,0
"53",27,"Felony","African-American","25 - 45","Male",15,10,1
"55",22,"Felony","African-American","Less than 25","Male",1,4,1
"56",29,"Felony","African-American","25 - 45","Male",4,9,1
"58",27,"Felony","African-American","25 - 45","Male",6,6,1
"60",56,"Misdemeanor","African-American","Greater than 45","Female",0,1,0
"63",39,"Misdemeanor","African-American","25 - 45","Male",1,4,0
"64",29,"Felony","African-American","25 - 45","Male",5,6,1
"66",40,"Felony","African-American","25 - 45","Male",2,2,0
"67",22,"Misdemeanor","African-American","Less than 25","Male",1,3,1
"69",26,"Felony","African-American","25 - 45","Female",1,4,1
"70",32,"Felony","African-American","25 - 45","Male",0,2,0
"71",41,"Misdemeanor","African-American","25 - 45","Male",1,2,0
"72",30,"Misdemeanor","African-American","25 - 45","Male",8,10,1
"74",25,"Felony","African-American","25 - 45","Male",14,10,1
"76",22,"Felony","African-American","Less than 25","Male",2,9,1
"77",35,"Misdemeanor","African-American","25 - 45","Female",1,2,0
"78",36,"Felony","African-American","25 - 45","Male",9,7,1
"86",19,"Misdemeanor","African-American","Less than 25","Male",1,4,1
"87",30,"Felony","African-American","25 - 45","Male",1,2,0
"94",21,"Felony","African-American","Less than 25","Male",3,9,1
"97",33,"Felony","African-American","25 - 45","Male",5,5,1
"98",37,"Felony","African-American","25 - 45","Male",3,2,0
"100",41,"Felony","African-American","25 - 45","Male",10,9,1
"101",22,"Felony","African-American","Less than 25","Male",0,4,1
"102",33,"Felony","African-American","25 - 45","Male",28,8,1
"103",31,"Misdemeanor","African-American","25 - 45","Male",1,7,0
"106",27,"Felony","African-American","25 - 45","Male",3,9,1
"108",33,"Felony","African-American","25 - 45","Male",19,10,1
"114",24,"Misdemeanor","African-American","Less than 25","Female",0,2,0
"117",32,"Felony","African-American","25 - 45","Male",3,7,1
"119",31,"Misdemeanor","African-American","25 - 45","Male",1,2,0
"121",20,"Felony","African-American","Less than 25","Female",1,10,0
"123",38,"Felony","African-American","25 - 45","Male",9,8,1
"124",32,"Felony","African-American","25 - 45","Male",11,6,1
"125",33,"Misdemeanor","African-American","25 - 45","Male",8,5,1
"126",31,"Felony","African-American","25 - 45","Female",0,3,1
"127",33,"Felony","African-American","25 - 45","Female",7,9,1
"128",27,"Felony","African-American","25 - 45","Male",2,9,1
"129",20,"Felony","African-American","Less than 25","Female",0,6,0
"131",61,"Felony","African-American","Greater than 45","Female",1,1,1
"134",32,"Felony","African-American","25 - 45","Female",4,10,1
"136",26,"Misdemeanor","African-American","25 - 45","Female",2,4,1
"139",30,"Felony","African-American","25 - 45","Male",1,7,0
"141",22,"Felony","African-American","Less than 25","Male",1,2,0
"144",25,"Misdemeanor","African-American","25 - 45","Male",1,2,1
"146",32,"Felony","African-American","25 - 45","Female",5,7,0
